,Instace name,Rais without infeasible arcs's Obj.Value,Rais without infeasible arcs's t(s)
0,./PDPTWT/4R-4K-4T-180L-1.txt,356.0387210786457,17.661995887756348
1,./PDPTWT/3R-4K-5T-180M-2.txt,279.110683704735,0.9079940319061279
2,./PDPTWT/4R-4K-4T-180S-2.txt,282.12114962700485,77.71803593635559
3,./PDPTWT/3R-4K-4T-180L-0.txt,365.74966852021345,2.545332193374634
4,./PDPTWT/4R-4K-4T-300M-2.txt,297.3431188011615,2.227825880050659
5,./PDPTWT/3R-4K-4T-240M-0.txt,180.12006581833282,0.9386451244354248
6,./PDPTWT/3R-4K-4T-300S-1.txt,222.2012717454143,0.2835261821746826
7,./PDPTWT/4R-4K-4T-240L-1.txt,356.0387210786457,20.351335048675537
8,./PDPTWT/4R-4K-4T-240L-0.txt,405.4054350182646,9.331465005874634
9,./PDPTWT/3R-4K-5T-180S-2.txt,209.42741699131147,2.4083027839660645
10,./PDPTWT/3R-4K-5T-180S-1.txt,222.2012717454143,0.44246506690979004
11,./PDPTWT/4R-4K-4T-240S-1.txt,338.3037935262189,2.185889959335327
12,./PDPTWT/3R-4K-4T-240S-0.txt,257.09877563608455,0.3446030616760254
13,./PDPTWT/3R-4K-5T-300L-0.txt,365.74966852021345,4.250845193862915
14,./PDPTWT/4R-4K-4T-180M-1.txt,420.40192136884116,57.56450796127319
15,./PDPTWT/3R-4K-5T-240M-1.txt,309.8291744366489,6.850229024887085
16,./PDPTWT/3R-4K-5T-240S-2.txt,209.42741699131147,1.7868750095367432
17,./PDPTWT/3R-4K-5T-180S-0.txt,257.09877563608455,0.3408081531524658
18,./PDPTWT/3R-4K-5T-180L-0.txt,365.74966852021345,2.7968268394470215
19,./PDPTWT/3R-4K-5T-180M-0.txt,180.12006581833282,0.722790002822876
20,./PDPTWT/3R-4K-5T-300M-0.txt,180.12006581833282,1.0011990070343018
21,./PDPTWT/4R-4K-4T-180S-0.txt,377.71280747734596,9.163280010223389
22,./PDPTWT/3R-4K-5T-240M-2.txt,279.110683704735,0.6641178131103516
23,./PDPTWT/4R-4K-4T-300M-1.txt,420.40192136884116,71.11383509635925
24,./PDPTWT/3R-4K-4T-180L-2.txt,427.9869686923849,8.102390050888062
25,./PDPTWT/3R-4K-4T-300L-0.txt,365.74966852021345,2.4324190616607666
26,./PDPTWT/4R-4K-4T-300M-0.txt,310.2450830417815,2.618807077407837
27,./PDPTWT/4R-4K-4T-240M-1.txt,420.40192136884116,57.3024628162384
28,./PDPTWT/3R-4K-4T-240M-1.txt,309.8291744366489,4.257129192352295
29,./PDPTWT/4R-4K-4T-300L-2.txt,488.6558971517456,35.94238519668579
30,./PDPTWT/3R-4K-4T-240L-0.txt,365.74966852021345,3.981130838394165
31,./PDPTWT/3R-4K-4T-300M-0.txt,180.12006581833282,0.635552167892456
32,./PDPTWT/3R-4K-4T-180M-2.txt,279.110683704735,0.563197135925293
33,./PDPTWT/4R-4K-4T-300S-2.txt,282.12114962700485,48.641074895858765
34,./PDPTWT/3R-4K-5T-240S-1.txt,222.2012717454143,0.5839738845825195
35,./PDPTWT/3R-4K-5T-180L-1.txt,306.6465037579704,2.3012938499450684
36,./PDPTWT/3R-4K-5T-240M-0.txt,180.12006581833282,0.9274671077728271
37,./PDPTWT/4R-4K-4T-180L-0.txt,405.4054350182646,12.346256971359253
38,./PDPTWT/3R-4K-4T-300L-2.txt,427.9869686923849,6.7196149826049805
39,./PDPTWT/3R-4K-4T-180S-1.txt,222.2012717454143,0.32759594917297363
40,./PDPTWT/3R-4K-5T-240L-1.txt,306.6465037579704,1.8537569046020508
41,./PDPTWT/3R-4K-4T-180M-0.txt,180.12006581833282,0.8351659774780273
42,./PDPTWT/3R-4K-5T-240L-0.txt,365.74966852021345,2.36639404296875
43,./PDPTWT/3R-4K-4T-180L-1.txt,306.6465037579704,1.609118938446045
44,./PDPTWT/3R-4K-4T-240M-2.txt,279.110683704735,0.5348000526428223
45,./PDPTWT/3R-4K-4T-180S-0.txt,257.09877563608455,0.29370784759521484
46,./PDPTWT/3R-4K-5T-240L-2.txt,402.93095354739194,11.582633018493652
47,./PDPTWT/3R-4K-5T-300S-2.txt,209.42741699131147,2.1978859901428223
48,./PDPTWT/4R-4K-4T-180M-2.txt,297.3431188011615,1.6803348064422607
49,./PDPTWT/4R-4K-4T-180L-2.txt,488.6558971517456,31.897774934768677
50,./PDPTWT/3R-4K-5T-300S-0.txt,257.09877563608455,0.3130378723144531
51,./PDPTWT/3R-4K-4T-180M-1.txt,309.8291744366489,2.4502010345458984
52,./PDPTWT/3R-4K-5T-300S-1.txt,222.2012717454143,0.31830787658691406
53,./PDPTWT/3R-4K-4T-180M-3.txt,333.3747461877102,3.234938859939575
54,./PDPTWT/4R-4K-4T-240M-2.txt,297.3431188011615,1.8879880905151367
55,./PDPTWT/4R-4K-4T-240L-2.txt,488.6558971517456,56.05644202232361
56,./PDPTWT/3R-4K-4T-180S-2.txt,209.42741699131147,2.5151400566101074
57,./PDPTWT/4R-4K-4T-240M-0.txt,310.2450830417815,1.7509608268737793
58,./PDPTWT/4R-4K-4T-240S-0.txt,377.71280556665823,12.483461856842041
59,./PDPTWT/3R-4K-5T-180M-1.txt,309.8291744366489,6.860448122024536
60,./PDPTWT/3R-4K-4T-300M-2.txt,279.110683704735,0.596545934677124
61,./PDPTWT/4R-4K-4T-300S-0.txt,377.71280747734596,10.435492992401123
62,./PDPTWT/3R-4K-4T-240L-1.txt,306.6465037579704,1.303696870803833
