,Instace name,Lyu's Obj.Value,Lyu's t(s),ValidConstr1's Obj.Value,ValidConstr1's t(s)
0,./PDPT/PDPT-R5-K2-T1-Q100-0.txt,512.7914791,0.113999844,512.7914791,0.121999979
1,./PDPT/PDPT-R5-K2-T1-Q100-1.txt,484.061446,0.387000084,484.061446,0.335999966
2,./PDPT/PDPT-R5-K2-T1-Q100-2.txt,499.2407183,0.339999914,499.2407183,0.349999905
3,./PDPT/PDPT-R5-K2-T1-Q100-3.txt,515.7926837,0.184000015,515.7926837,0.14199996
4,./PDPT/PDPT-R5-K2-T1-Q100-4.txt,389.4566649,0.174000025,389.4566649,0.154000044
5,./PDPT/PDPT-R5-K2-T1-Q100-5.txt,315.749465,0.106000185,315.749465,0.114000082
6,./PDPT/PDPT-R5-K2-T1-Q100-6.txt,405.5462763,0.144000053,405.5462763,0.15199995
7,./PDPT/PDPT-R5-K2-T1-Q100-7.txt,403.925958,0.234999895,403.925958,0.207999945
8,./PDPT/PDPT-R5-K2-T1-Q100-8.txt,341.6068116,0.13499999,341.6068116,0.133000135
9,./PDPT/PDPT-R5-K2-T1-Q100-9.txt,556.2148644,0.329999924,556.2148644,0.282000065
10,./PDPT/PDPT-R5-K2-T2-Q100-0.txt,428.413933,0.404999971,428.413933,0.457999945
11,./PDPT/PDPT-R5-K2-T2-Q100-1.txt,376.5748306,1.377000093,376.5748306,1.154000044
12,./PDPT/PDPT-R5-K2-T2-Q100-2.txt,346.8854228,0.115999937,346.8854228,0.118000031
13,./PDPT/PDPT-R5-K2-T2-Q100-3.txt,535.7806734,0.272000074,535.7806734,0.334000111
14,./PDPT/PDPT-R5-K2-T2-Q100-4.txt,331.5580045,0.105000019,331.5580045,0.109999895
15,./PDPT/PDPT-R5-K2-T2-Q100-5.txt,556.5712501,0.118999958,556.5712501,0.126999855
16,./PDPT/PDPT-R5-K2-T2-Q100-6.txt,334.8810289,0.585000038,334.8810289,0.530999899
17,./PDPT/PDPT-R5-K2-T2-Q100-7.txt,365.1093043,0.184000015,365.1093043,0.17599988
18,./PDPT/PDPT-R5-K2-T2-Q100-8.txt,479.8294474,0.144000053,479.8294474,0.10800004
19,./PDPT/PDPT-R5-K2-T2-Q100-9.txt,399.7962097,0.128999949,399.7962097,0.148000002
20,./PDPT/PDPT-R5-K3-T3-Q100-0.txt,352.8422236,0.567000151,352.8422236,0.494000196
21,./PDPT/PDPT-R5-K3-T3-Q100-1.txt,430.4634961,0.445999861,430.4634961,0.393999815
22,./PDPT/PDPT-R5-K3-T3-Q100-2.txt,505.8516793,0.241999865,505.8516793,0.240999937
23,./PDPT/PDPT-R5-K3-T3-Q100-3.txt,396.7850122,0.31099987,396.7850122,0.282000065
24,./PDPT/PDPT-R5-K3-T3-Q100-4.txt,370.5676766,0.294999838,370.5676766,0.322999954
25,./PDPT/PDPT-R5-K3-T3-Q100-5.txt,415.320707,0.266000032,415.320707,0.289000034
26,./PDPT/PDPT-R5-K3-T3-Q100-6.txt,397.5036411,0.454999924,397.5036411,0.444000006
27,./PDPT/PDPT-R5-K3-T3-Q100-7.txt,436.6898127,0.348999977,436.6898127,0.316999912
28,./PDPT/PDPT-R5-K3-T3-Q100-8.txt,505.9778172,4.746000051,505.9778172,4.766000032
