,Instace name,Lyu's Obj.Value,Lyu's t(s),ValidConstr1's Obj.Value,ValidConstr1's t(s)
0,./PDPT/PDPT-R5-K2-T1-Q100-0.txt,512.7914791,0.171000004,512.7914791,0.200999975
1,./PDPT/PDPT-R5-K2-T1-Q100-1.txt,484.061446,0.401000023,484.0614521,0.376999855
2,./PDPT/PDPT-R5-K2-T1-Q100-2.txt,499.2407183,0.367000103,499.2407183,0.251999855
3,./PDPT/PDPT-R5-K2-T1-Q100-3.txt,515.7926837,0.150000095,515.7926837,0.154000044
4,./PDPT/PDPT-R5-K2-T1-Q100-4.txt,389.4566649,0.116999865,389.4566649,0.183000088
5,./PDPT/PDPT-R5-K2-T1-Q100-5.txt,315.749465,0.128000021,315.749465,0.127000093
6,./PDPT/PDPT-R5-K2-T1-Q100-6.txt,405.5462763,0.106999874,405.5462763,0.162999868
7,./PDPT/PDPT-R5-K2-T1-Q100-7.txt,403.925958,0.210999966,403.925958,0.208999872
8,./PDPT/PDPT-R5-K2-T1-Q100-8.txt,341.6068116,0.151000023,341.6068116,0.177999973
9,./PDPT/PDPT-R5-K2-T1-Q100-9.txt,556.2148644,0.245999813,556.2148644,0.213999987
10,./PDPT/PDPT-R5-K2-T2-Q100-0.txt,428.413933,0.394000053,428.413933,0.301000118
11,./PDPT/PDPT-R5-K2-T2-Q100-1.txt,376.5748306,1.27699995,376.5748306,0.951000214
12,./PDPT/PDPT-R5-K2-T2-Q100-2.txt,346.8854228,0.113000154,346.8854228,0.181999922
13,./PDPT/PDPT-R5-K2-T2-Q100-3.txt,535.7806734,0.218000174,535.7806734,0.31400013
14,./PDPT/PDPT-R5-K2-T2-Q100-4.txt,331.5580045,0.145999908,331.5580045,0.154999971
15,./PDPT/PDPT-R5-K2-T2-Q100-5.txt,556.5712501,0.141000032,556.5712501,0.134000063
16,./PDPT/PDPT-R5-K2-T2-Q100-6.txt,334.8810289,0.628000021,334.8810289,0.488999844
17,./PDPT/PDPT-R5-K2-T2-Q100-7.txt,365.1093043,0.18900013,365.1093043,0.187999964
18,./PDPT/PDPT-R5-K2-T2-Q100-8.txt,479.8294474,0.164999962,479.8294474,0.154000044
19,./PDPT/PDPT-R5-K2-T2-Q100-9.txt,399.7962097,0.161999941,399.7962097,0.148000002
20,./PDPT/PDPT-R5-K3-T3-Q100-0.txt,352.8422236,0.685000181,352.8422236,0.556999922
21,./PDPT/PDPT-R5-K3-T3-Q100-1.txt,430.4634961,0.455999851,430.4634961,0.398999929
22,./PDPT/PDPT-R5-K3-T3-Q100-2.txt,505.8516793,0.25999999,505.8517634,0.369999886
23,./PDPT/PDPT-R5-K3-T3-Q100-3.txt,396.7850122,0.340000153,396.7850122,0.391000032
24,./PDPT/PDPT-R5-K3-T3-Q100-4.txt,370.5676766,0.370999813,370.5676766,0.369999886
25,./PDPT/PDPT-R5-K3-T3-Q100-5.txt,415.320707,0.289999962,415.320707,0.329999924
26,./PDPT/PDPT-R5-K3-T3-Q100-6.txt,397.5036411,0.479000092,397.5036411,0.55700016
27,./PDPT/PDPT-R5-K3-T3-Q100-7.txt,436.6898127,0.263000011,436.6898127,0.470999956
28,./PDPT/PDPT-R5-K3-T3-Q100-8.txt,505.9778172,4.771000147,505.9778172,4.564999819
29,./PDPT/PDPT-R5-K3-T3-Q100-9.txt,402.1089662,0.381000042,402.1089662,0.401000023
30,./PDPT/PDPT-R7-K2-T1-Q100-0.txt,403.0471523,0.565000057,403.0471523,0.333999872
31,./PDPT/PDPT-R7-K2-T1-Q100-1.txt,629.9558409,0.981999874,629.9558409,1.174000025
32,./PDPT/PDPT-R7-K2-T1-Q100-2.txt,579.8308626,0.246000051,579.8308626,0.28000021
33,./PDPT/PDPT-R7-K2-T1-Q100-3.txt,483.4517413,24.73799992,483.4517413,17.61999989
34,./PDPT/PDPT-R7-K2-T1-Q100-4.txt,451.7230566,0.59100008,451.7230566,0.527999878
35,./PDPT/PDPT-R7-K2-T1-Q100-5.txt,458.5031574,0.403999805,458.5031574,0.369999886
36,./PDPT/PDPT-R7-K2-T1-Q100-6.txt,536.8171497,0.458999872,536.8171497,0.355999947
37,./PDPT/PDPT-R7-K2-T1-Q100-7.txt,596.9328225,0.698999882,596.9328225,1.145999908
38,./PDPT/PDPT-R7-K2-T1-Q100-8.txt,546.6471514,0.286999941,546.6471514,0.305000067
39,./PDPT/PDPT-R7-K2-T1-Q100-9.txt,563.2029223,1.237999916,563.2029223,1.081999779
40,./PDPT/PDPT-R7-K3-T3-Q100-0.txt,555.0301507,2.410000086,555.0301507,3.101000071
41,./PDPT/PDPT-R7-K3-T3-Q100-1.txt,580.0632167,0.761000156,580.0632167,0.75999999
42,./PDPT/PDPT-R7-K3-T3-Q100-2.txt,556.785846,1.439999819,556.785846,1.451000214
43,./PDPT/PDPT-R7-K3-T3-Q100-3.txt,535.1865947,5.036999941,535.1865947,5.644999981
44,./PDPT/PDPT-R7-K3-T3-Q100-4.txt,586.1756755,1.076999903,586.1756755,0.928000212
45,./PDPT/PDPT-R7-K3-T3-Q100-5.txt,508.842399,8.792999983,508.842399,11.56599998
46,./PDPT/PDPT-R7-K3-T3-Q100-6.txt,515.2019654,1.631999969,515.2019654,1.312999964
47,./PDPT/PDPT-R7-K3-T3-Q100-7.txt,713.1911735,0.684999943,713.1911735,0.756000042
