,Instace name,Lyu's Obj.Value,Lyu's t(s),ValidConstr1's Obj.Value,ValidConstr1's t(s)
0,./PDPT/PDPT-R5-K2-T1-Q100-0.txt,512.7914791,0.118999958,512.7914791,0.26699996
1,./PDPT/PDPT-R5-K2-T1-Q100-1.txt,484.061446,0.415999889,484.0614521,0.413000107
2,./PDPT/PDPT-R5-K2-T1-Q100-2.txt,499.2407183,0.470999956,499.2407183,0.277999878
3,./PDPT/PDPT-R5-K2-T1-Q100-3.txt,515.7926837,0.217000008,515.7926837,0.230999947
4,./PDPT/PDPT-R5-K2-T1-Q100-4.txt,389.4566649,0.120999813,389.4566649,0.118999958
5,./PDPT/PDPT-R5-K2-T1-Q100-5.txt,315.749465,0.110000134,315.749465,0.121000051
6,./PDPT/PDPT-R5-K2-T1-Q100-6.txt,405.5462763,0.161000013,405.5462763,0.146999836
7,./PDPT/PDPT-R5-K2-T1-Q100-7.txt,403.925958,0.236000061,403.925958,0.250999928
8,./PDPT/PDPT-R5-K2-T1-Q100-8.txt,341.6068116,0.09800005,341.6068116,0.15500021
9,./PDPT/PDPT-R5-K2-T1-Q100-9.txt,556.2148644,0.371000051,556.2148644,0.325000048
10,./PDPT/PDPT-R5-K2-T2-Q100-0.txt,428.413933,0.487999916,428.413933,0.398000002
11,./PDPT/PDPT-R5-K2-T2-Q100-1.txt,376.5748306,1.410000086,376.5748306,0.940999985
12,./PDPT/PDPT-R5-K2-T2-Q100-2.txt,346.8854228,0.121000051,346.8854228,0.154999971
13,./PDPT/PDPT-R5-K2-T2-Q100-3.txt,535.7806734,0.246000051,535.7806734,0.289000034
14,./PDPT/PDPT-R5-K2-T2-Q100-4.txt,331.5580045,0.161000013,331.5580045,0.106000185
15,./PDPT/PDPT-R5-K2-T2-Q100-5.txt,556.5712501,0.110000134,556.5712501,0.122999907
16,./PDPT/PDPT-R5-K2-T2-Q100-6.txt,334.8810289,0.536000013,334.8810289,0.472000122
17,./PDPT/PDPT-R5-K2-T2-Q100-7.txt,365.1093043,0.14199996,365.1093043,0.151000023
18,./PDPT/PDPT-R5-K2-T2-Q100-8.txt,479.8294474,0.13499999,479.8294474,0.141000032
19,./PDPT/PDPT-R5-K2-T2-Q100-9.txt,399.7962097,0.138000011,399.7962097,0.142999887
20,./PDPT/PDPT-R5-K3-T3-Q100-0.txt,352.8422236,0.562000036,352.8422236,0.563999891
21,./PDPT/PDPT-R5-K3-T3-Q100-1.txt,430.4634961,0.4150002,430.4634961,0.292000055
22,./PDPT/PDPT-R5-K3-T3-Q100-2.txt,505.8516793,0.246999979,505.8517634,0.269999981
23,./PDPT/PDPT-R5-K3-T3-Q100-3.txt,396.7850122,0.312000036,396.7850122,0.298000097
24,./PDPT/PDPT-R5-K3-T3-Q100-4.txt,370.5676766,0.34499979,370.5676766,0.285000086
25,./PDPT/PDPT-R5-K3-T3-Q100-5.txt,415.320707,0.268000126,415.320707,0.302999973
26,./PDPT/PDPT-R5-K3-T3-Q100-6.txt,397.5036411,0.457999945,397.5036411,0.468999863
27,./PDPT/PDPT-R5-K3-T3-Q100-7.txt,436.6898127,0.345999956,436.6898127,0.355999947
28,./PDPT/PDPT-R5-K3-T3-Q100-8.txt,505.9778172,5.023999929,505.9778172,4.335000038
29,./PDPT/PDPT-R5-K3-T3-Q100-9.txt,402.1089662,0.349999905,402.1089662,0.358999968
30,./PDPT/PDPT-R7-K2-T1-Q100-0.txt,403.0471523,0.526000023,403.0471523,0.41899991
31,./PDPT/PDPT-R7-K2-T1-Q100-1.txt,629.9558409,0.904999971,629.9558409,0.648000002
32,./PDPT/PDPT-R7-K2-T1-Q100-2.txt,579.8308626,0.277999878,579.8308626,0.27699995
33,./PDPT/PDPT-R7-K2-T1-Q100-3.txt,483.4517413,23.88599992,483.4517413,22.33100009
34,./PDPT/PDPT-R7-K2-T1-Q100-4.txt,451.7230566,0.578000069,451.7230566,0.504999876
35,./PDPT/PDPT-R7-K2-T1-Q100-5.txt,458.5031574,0.388999939,458.5031574,0.403000116
36,./PDPT/PDPT-R7-K2-T1-Q100-6.txt,536.8171497,0.433000088,536.8171497,0.348999977
37,./PDPT/PDPT-R7-K2-T1-Q100-7.txt,596.9328225,0.751000166,596.9328225,0.828000069
38,./PDPT/PDPT-R7-K2-T1-Q100-8.txt,546.6471514,0.342000008,546.6471514,0.318000078
39,./PDPT/PDPT-R7-K2-T1-Q100-9.txt,563.2029223,1.309000015,563.2029223,1.146000147
40,./PDPT/PDPT-R7-K3-T3-Q100-0.txt,555.0301507,2.31799984,555.0301507,2.802000046
41,./PDPT/PDPT-R7-K3-T3-Q100-1.txt,580.0632167,0.734999895,580.0632167,0.90899992
42,./PDPT/PDPT-R7-K3-T3-Q100-2.txt,556.785846,1.403000116,556.785846,1.395999908
43,./PDPT/PDPT-R7-K3-T3-Q100-3.txt,535.1865947,4.925000191,535.1865947,5.397000074
44,./PDPT/PDPT-R7-K3-T3-Q100-4.txt,586.1756755,1.052000046,586.1756755,0.842000008
45,./PDPT/PDPT-R7-K3-T3-Q100-5.txt,508.842399,8.876999855,508.842399,12.73799992
